Gene	SRR6926216	SRR6926217	SRR6926218	SRR6926219	SRR6926220	SRR6926221	SRR6926222	SRR6926223	SRR6926224	SRR6026765	SRR6026766	SRR6026770	SRR6026771	SRR6026772
TCEA1	45152	46449	55253	43240	43159	38656	102531	128031	134233	12261	13427	11008	16805	19160
TCEA1P2	30812	30727	38552	28989	30959	27685	45016	85924	99750	10457	11250	9867	12329	12967
TCEA2	11001	10714	13893	11055	10091	13257	11574	7850	11449	47915	68208	60059	43379	39904
TCEA3	1276	1283	1386	2003	1208	1650	678	1069	1405	577	1181	507	972	530
TCEAL1	8411	9238	11085	8045	7307	7948	11980	12578	12956	16476	22042	14006	14610	15929
TCEAL3	4517	3981	3941	6307	5772	7030	6765	6004	7165	10446	12664	11478	8129	10594
TCEAL4	31412	33108	40574	30053	28103	36750	46630	39775	43612	32879	37002	26917	31679	30435
TCEAL8	11506	14981	17864	21746	21247	21890	17615	17490	17969	27296	33542	26024	22543	26033
TCEAL9	13666	15800	20078	32041	28403	27805	27401	23763	28128	17804	21417	17949	15908	19112
TCEANC	922	1399	1382	1686	1724	1632	1683	1926	2300	4044	7609	16711	9567	11212
TCEANC2	6175	6105	7265	5839	5706	5543	5949	6599	6901	21922	27465	28261	22269	22385
TCERG1	71757	69969	84632	66203	55586	61935	36499	45185	52351	67755	76822	90426	79970	93006
TCF12	45911	49264	58455	42290	38818	38166	32189	54672	57808	33943	31426	39597	41354	49580
TCF25	25164	25379	28976	34635	31571	38373	44613	40459	43466	161834	174600	202403	188951	173259
TCF3	74811	74378	90318	64321	56087	71959	46469	40842	50042	186702	198128	150281	132576	119788
TCF7	7175	6589	8199	4772	4948	4824	3261	3569	4707	81147	81182	63016	60801	58436
TCF7L2	26395	31367	38835	31356	26699	27592	24305	41158	44284	41832	39677	31361	29986	30918
TCFL5	16087	15399	15503	13853	12933	13132	11115	13114	13915	30581	37643	25641	21849	19204
TCHP	25711	27133	31375	26160	21826	24550	26068	29270	36309	58997	58660	57790	52563	60254
TCIRG1	16398	17480	18262	18189	15554	18975	14794	11975	13782	2939	5918	4357	3095	3216
TCOF1	89662	86087	113801	63536	56966	69809	47414	45529	58918	263776	270055	219074	259167	240694
TCP1	117461	132528	150588	124483	116255	125400	131920	121795	133939	302924	306370	261802	265061	246626
TCP10L	200	246	398	283	400	250	100	200	262	4037	2741	3410	2716	2758
TCP11L1	13246	12094	15802	16629	12348	14210	11462	18545	20549	34366	36501	26920	29454	27445
TCP11L2	1547	1933	2143	2237	2385	1922	6782	8938	10683	11717	13595	14755	20507	17259
TCTA	4483	5474	5872	13805	10920	11200	10349	7894	8994	37572	58531	46242	39071	29226
TCTEX1D2	880	1446	898	1167	695	784	2923	1870	3035	5803	6660	4686	6246	5288
TCTN1	5764	6798	6997	6598	7311	6632	9116	9146	8984	57407	67596	50079	60579	53961
TCTN2	9864	9253	11531	11705	11578	11711	5408	7369	8824	29232	38261	28821	30475	26038
TCTN3	24266	22836	24366	33960	29975	27893	26311	22383	24688	74284	74386	66931	77787	64902
TDG	16985	16323	20468	21563	17858	18844	16466	21254	22653	21621	21856	20390	22464	23708
TDP1	15391	15953	18958	14718	10711	14608	11992	13557	17687	25167	31442	35936	27712	26639
TDP2	23624	24583	28497	22166	22503	23854	35083	40890	39360	34134	33829	38068	37446	41258
TDRD3	15793	14325	17554	12165	11359	12449	21102	19397	22375	7694	7746	12304	12208	15396
TDRD7	9338	9484	12933	10302	8683	9727	11112	11073	11801	27672	29357	35760	31448	35818
TDRKH	7866	7743	8442	8443	6469	7184	9521	11278	13508	26034	29605	27460	25701	23062
TDRKH-AS1	248	150	249	200	300	250	1946	1599	2250	1196	2517	2828	3080	2840
TEAD1	114499	114907	149123	102598	99347	93432	63616	159817	196442	70474	78794	85749	79999	94833
TEAD2	17300	17233	18017	16146	13957	14824	16325	13430	15074	63551	79631	67705	44743	41076
TEAD3	8320	9130	11140	7318	7493	9447	8553	9296	11034	50234	68205	77222	51262	53344
TEAD4	20885	21774	27041	16512	14163	14039	20856	16462	20206	34504	45432	53730	48207	43265
TEC	1711	2292	2006	1972	1455	2154	1547	1799	2373	1846	2016	3384	3107	3946
TECPR1	3851	3396	3444	23803	20529	26574	5138	4582	6496	59585	67836	36064	35258	30319
TECPR2	11161	11725	14530	13143	11570	13782	10700	13120	17733	33318	51104	48871	33486	26220
TECR	68003	73232	78449	93014	80446	87862	91017	61347	76913	74131	106763	85927	64626	58445
TECRP1	20136	20615	23075	24917	23744	31560	32379	17285	20720	23030	31759	27306	18030	16793
TEF	2919	3150	4331	2947	2350	3250	4077	4833	8579	18278	28007	23872	24040	18968
TEFM	5846	4977	6648	5994	4646	5395	7189	5994	8051	16151	18961	16033	18567	20383
TELO2	13994	14091	15861	9729	10518	11885	9395	7150	9060	95547	96972	73963	71403	63600
TEN1	6236	7730	9511	10058	8610	11307	9235	7211	8233	18907	25040	24583	18640	16855
TEN1-CDK3	7163	8493	10142	10600	9061	12321	10789	7905	9563	36689	48244	46957	33868	33046
TENM3	15693	15038	18199	23609	23219	19615	11113	20519	22432	94574	81001	66561	66235	72941
TEP1	3103	3130	3031	2538	2629	2547	1546	3772	3220	21913	29287	28240	16861	17161
TEPSIN	9161	9696	9960	9146	7521	9629	9299	8706	9882	59587	59533	85027	67229	67871
TERF1	5145	5438	6718	6139	4183	5338	6742	7691	6829	9447	12201	11923	13646	14871
TERF2	19552	20845	22858	17445	16454	17819	17857	19142	23385	65977	76664	95435	82991	84821
TERF2IP	30216	33831	33207	49694	45479	47009	40945	44518	47632	74940	77051	81870	84676	85001
TES	56747	56258	69186	69429	64397	66679	64053	93619	104461	73898	90936	120125	184814	202164
TESK1	6979	8090	8148	11313	10812	13965	17666	13189	15524	77612	94639	107755	91624	81337
TESK2	3451	2778	3017	2823	2927	2491	3485	3321	2534	19032	23955	35868	22310	19816
TESMIN	1281	1350	1608	598	745	1100	1436	715	1446	7949	8587	7624	7104	6970
TET2	17915	14968	21440	18751	15389	14852	9379	20246	25671	12236	14123	20636	16959	19934
TET3	29352	25033	34567	16550	17503	15392	7388	14846	21246	107468	88701	85585	84732	76956
TEX10	32907	33857	39979	32748	30700	29345	27793	26814	30573	45673	56045	79374	62445	73445
TEX2	28478	34357	40290	32230	31273	31885	20195	25978	30687	55373	53585	46000	42301	50143
TEX22	5914	6688	7391	5210	4581	6176	2400	2653	3151	20322	26396	27231	22747	20242
TEX261	30618	29933	37192	48581	42499	43810	29440	30471	36098	195590	230133	193695	190274	159273
TEX264	12112	12254	13447	11844	11409	14211	19123	14261	18976	51165	65692	57246	49580	43461
TEX30	12200	11977	15103	11486	9741	11359	18227	19440	19088	9272	11998	9056	9768	10034
TEX9	2951	2970	3301	1668	1468	1882	2486	2734	3426	2728	3805	5513	8120	7754
TFAM	61855	60289	77931	50321	48295	49255	35652	42514	48526	51650	49328	46923	62008	76693
TFAP2A	59137	61170	75147	67926	59849	68514	44005	47832	58401	133791	167725	134913	100867	110745
TFAP2A-AS1	3365	2617	3308	2234	2249	3485	2168	2994	2952	12342	14313	13857	9636	9832
TFAP2C	6701	6163	6499	7510	6537	8103	7943	7074	8756	10634	18175	27115	11263	12635
TFAP4	35511	37027	45192	29245	29033	32615	14247	14999	21161	28613	34742	49496	38251	33426
TFB1M	4279	4838	5301	5695	5858	5750	7073	6277	7218	10755	12992	20063	21674	21876
TFB2M	16913	19782	23659	24366	22714	22553	13235	15304	18934	7902	5626	8249	10703	11643
TFCP2	25711	28863	31962	27015	25593	24164	23603	27953	33275	56439	53469	54092	48124	51210
TFDP1	141796	161720	178602	121596	109624	116968	92379	113559	130208	144784	156463	103489	101664	100042
TFDP2	27658	26081	36813	22843	19046	22169	25917	25128	28491	64118	83384	60796	53672	48345
TFE3	45897	47388	49319	74341	67973	71880	62886	63310	73799	96450	124894	128861	109702	104457
TFEB	6108	5452	7808	5768	5229	5744	4255	3474	4966	8661	9833	15353	10345	10050
TFG	62637	64462	76825	125418	113376	116214	96480	94585	110583	76401	90606	95854	100262	100643
TFIP11	13858	16945	19602	16421	15139	16058	21290	19094	23377	70940	94982	122010	94100	85239
TFPI	45820	45353	61538	53074	49438	49668	62207	67903	73791	3872	5104	2672	4544	5456
TFRC	122088	115781	142919	167234	143896	139749	89385	152714	171796	82695	73613	42852	48245	41524
TGDS	7565	7535	9055	14764	13540	13680	9912	13026	14564	4704	4239	8489	8022	9334
TGFA	4478	6875	7262	6409	6662	7175	6344	9344	12512	4661	7319	4801	4963	5943
TGFB1	53554	62328	71360	60324	54328	59093	61914	52926	61901	170312	213661	147623	189432	155394
TGFB1I1	17961	19531	21770	20009	17194	18808	38677	27980	33479	9370	14332	15795	9984	11631
TGFB2	938	596	1050	842	743	1450	1195	1642	2949	2402	3834	5332	4143	5908
TGFB3	3072	2086	2864	1781	2490	1768	1753	2328	1854	3650	5721	8913	4899	4021
TGFBR1	20639	21630	22386	26135	24642	23792	17196	28479	27744	66943	77668	65233	62584	68188
TGFBR2	61226	59652	77633	63514	54602	56979	29192	42993	43119	28907	35250	28107	20257	24849
TGFBR3	26609	27344	35004	20536	21567	17876	7366	15893	21843	17933	16006	11838	11663	13077
TGFBR3L	4056	3337	4727	8022	6707	7744	7810	5123	7381	2081	1666	1234	1330	1713
TGFBRAP1	12300	15721	18372	11448	11336	10385	6862	9498	11309	93187	95689	94659	77885	77445
TGIF1	29929	34863	40600	45181	39583	41915	58150	62552	69959	37501	48712	56696	75318	73189
TGIF2	36247	39736	45038	24705	24068	27591	13220	16143	19999	38761	66857	76311	44428	44660
TGIF2-C20orf24	43467	45377	47194	67208	54963	58016	71731	64254	69809	75109	108704	90139	79185	72547
TGM2	30236	33308	36891	25698	23580	23848	13656	15993	17237	1202	3251	2185	985	1448
TGOLN2	92135	97260	109842	133582	119322	116528	64741	104722	120151	192256	203248	155740	125177	132992
TGS1	17236	17665	23221	17494	16312	16080	11678	17065	19027	10960	15760	17003	14690	16307
TH2LCRR	2256	2031	3199	2123	2421	2365	3234	3417	4032	410	1147	1531	2227	2105
THADA	15848	14536	17291	18137	16291	16466	9443	10532	13264	37833	38389	52491	44726	45546
THAP1	5175	4781	6462	6869	6169	6576	7726	8530	8101	8282	9718	10287	10196	14348
THAP10	1000	1543	1450	1000	1421	789	3100	3450	5704	10992	11035	13012	11331	12821
THAP11	14281	16154	17350	14568	11501	12354	13428	10554	14736	67732	79016	79882	69477	58762
THAP12	25699	25904	30760	19412	23303	22146	20896	27614	30572	13805	18623	14762	16208	16439
THAP2	3591	4020	4772	6043	5706	6217	9003	8812	10985	4494	5897	5878	7353	9202
THAP3	21174	22623	24490	21887	20586	22942	25555	21560	26024	82057	85652	105606	96037	87617
THAP4	13670	14963	17485	13578	10844	12965	19566	12859	13724	104618	111996	102128	103797	88160
THAP5	9376	10923	13769	16766	16195	16822	17766	23232	23258	13038	20191	30634	37499	43083
THAP6	3977	4075	5098	5541	5260	4432	7129	8604	8763	7411	8378	9820	11799	12831
THAP7	7577	8862	9374	8772	7511	8736	12607	10396	9811	39938	54227	77694	53634	50652
THAP7-AS1	1483	1220	1026	910	1217	891	2340	1403	2487	9420	14564	16063	10531	9190
THAP8	850	798	739	594	543	842	1930	1241	1498	13003	10347	12733	11048	10836
THAP9	2045	1942	2046	2050	3213	2488	3341	4366	3704	1974	3157	8153	6508	7435
THAP9-AS1	13663	13826	18248	17650	16003	18074	50159	56400	60069	7290	10827	23882	25700	28484
THBS1	28322	31971	38302	25551	27277	28016	17675	27927	34923	5350	15138	23906	17250	21546
THBS3	1412	1822	2102	2353	1729	2135	3024	3802	5629	10197	12257	14018	10845	10035
THEM4	11621	12298	14267	9790	9433	10190	14697	13716	17231	14144	17064	11478	12295	12865
THEM6	11952	14512	16056	16970	11876	16658	6573	4933	6926	32994	34021	27827	22547	18306
THG1L	6790	8756	9773	10092	8974	8358	9341	9888	7986	17294	18303	24743	25406	23842
THNSL1	4337	4442	6284	3793	3000	3338	3283	5186	3937	3317	2793	4708	4539	5036
THOC1	18108	17714	26025	17618	13967	16796	20272	19587	22234	20465	20428	31638	42398	46833
THOC2	31673	31694	43352	33134	32331	29945	15149	25451	24927	18313	36632	45175	43711	47922
THOC3	24520	25325	29313	23707	21281	22130	17950	17564	18795	10486	11282	9700	11890	8740
THOC5	23460	22682	32245	27482	27749	29527	30735	25507	34530	65265	89612	91079	93580	78169
THOC6	21444	23454	28617	27140	21423	26003	31985	22935	33103	64830	82488	84909	75130	70805
THOC7	30793	32496	43989	33949	30550	30525	42207	39759	42308	18347	20784	13014	18734	20449
THOP1	37101	38672	43297	34029	31730	36356	28799	23049	26556	192334	209037	170925	204788	171795
THRA	31324	31307	37773	26801	26380	31054	13657	13998	17128	113949	125733	87190	83143	77153
THRAP3	120578	131301	157585	136436	119609	137919	63429	95866	110169	137289	156296	168275	148634	171126
THRB	3628	4359	6485	4575	3523	4529	5870	6870	10269	14288	8420	10299	9438	9881
THRIL	13053	11961	16000	8422	8307	8881	2116	6367	9270	49200	40738	20647	26854	21511
THSD1	200	150	350	300	200	100	400	182	750	2952	5076	7296	3868	5262
THSD4	8494	8439	10150	9680	8949	9385	5672	8215	9592	35922	25859	23440	24630	25308
THTPA	4809	4736	4540	4950	3636	6118	11994	8402	7699	31814	45007	46121	29000	25719
THUMPD1	33074	36420	40961	36027	35037	30936	25609	36185	40797	18428	22718	26333	29580	32886
THUMPD2	6330	5307	8580	5053	3795	3961	6178	6993	6661	10185	11593	26495	19044	25222
THUMPD3	33902	34800	45155	48262	40590	44321	41631	48047	56649	35414	32238	37988	44157	44859
THUMPD3-AS1	6523	6024	8570	9369	7557	8633	9823	7603	9170	24041	24716	25149	31171	29609
THYN1	11771	14172	13974	11741	10817	10846	20319	17012	16351	18933	19542	17809	20981	21786
TIA1	10873	11549	14787	9341	9143	10397	7630	13861	13561	39586	44922	54927	44683	58883
TIAF1	6023	5975	6844	7908	6024	7435	5504	3427	4936	20944	27077	27911	17408	19484
TIAL1	60111	62186	73602	67413	59070	66342	81012	83360	90788	80801	84835	100884	94885	105270
TIAM2	6946	6644	8562	8109	5727	7324	7018	7088	8220	24642	31256	51986	38127	43501
TICAM1	6393	5735	8342	6366	6779	6446	6494	5694	7879	7290	11367	17215	9859	10108
TICAM2	2749	2392	3740	3150	3100	3597	2841	3898	4195	7609	8307	9637	11007	10535
TICRR	15623	16493	19254	14315	12777	10507	8061	10878	15181	161383	152921	257625	169512	179537
TIFA	13204	13394	16593	15205	14133	13964	12688	12826	13117	9575	12037	11619	8898	13901
TIGAR	9601	10628	13540	8897	7768	8608	18901	19756	19678	19993	19768	21697	21327	20422
TIGD1	989	1049	1200	1193	896	840	1550	950	1350	6311	7244	8281	11211	12153
TIGD2	9229	8488	12820	6350	7129	6508	16582	19794	20124	5619	5069	8285	8632	7874
TIGD3	896	650	946	350	350	593	1100	847	646	5153	5392	7886	4612	4213
TIGD6	3182	3299	4036	4734	4187	4448	4415	5471	4972	13459	14683	19905	15922	16018
TIGD7	1498	1899	2396	2235	1819	1881	3476	4033	3300	5585	6054	9180	7228	7407
TIMELESS	74060	76796	87518	56154	50481	54677	45963	51995	63611	201537	241407	243187	198986	182259
